city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Waitangi,Waitangi,-43.9510,-176.5610,New Zealand,NZ,NZL,Chatham Islands,admin,177,1554847194
Leulumoega,Leulumoega,-13.8230,-171.9613,Samoa,WS,WSM,A‘ana,admin,,1882782502
Kokopo,Kokopo,-4.3500,152.2736,Papua New Guinea,PG,PNG,East New Britain,admin,,1598823962
Mulifanua,Mulifanua,-13.8318,-172.0360,Samoa,WS,WSM,Aiga-i-le-Tai,admin,,1882029963
Saratamata,Saratamata,-15.2869,167.9906,Vanuatu,VU,VUT,Penama,admin,,1548907051
Kurumul,Kurumul,-5.8550,144.6311,Papua New Guinea,PG,PNG,Jiwaka,admin,,1598000045
Tari,Tari,-5.8489,142.9506,Papua New Guinea,PG,PNG,Hela,admin,,1598669271
Lufilufi,Lufilufi,-13.8745,-171.5986,Samoa,WS,WSM,Atua,admin,,1882092632
Safotulafai,Safotulafai,-13.6715,-172.1777,Samoa,WS,WSM,Fa‘asaleleaga,admin,,1882524892
Leava,Leava,-14.2933,-178.1583,Wallis And Futuna,WF,WLF,Sigave,admin,,1876731744
Buka,Buka,-5.4219,154.6728,Papua New Guinea,PG,PNG,Bougainville,admin,,1598000066
Samamea,Samamea,-13.9338,-171.5312,Samoa,WS,WSM,Va‘a-o-Fonoti,admin,,1882468874
Satupa‘itea,Satupa`itea,-13.7659,-172.3269,Samoa,WS,WSM,Satupa‘itea,admin,,1882940042
Asau,Asau,-13.5196,-172.6378,Samoa,WS,WSM,Vaisigano,admin,,1882504626
Safotu,Safotu,-13.4513,-172.4018,Samoa,WS,WSM,Gagaifomauga,admin,,1882879383
Vailoa,Vailoa,-13.7555,-172.3070,Samoa,WS,WSM,Palauli,admin,,1882047846
Koné,Kone,-21.0667,164.8667,New Caledonia,NC,NCL,Province Nord,admin,,1540397627
Sola,Sola,-13.8761,167.5517,Vanuatu,VU,VUT,Torba,admin,,1548600754
Saleaula,Saleaula,-13.4489,-172.3352,Samoa,WS,WSM,Gaga‘emauga,admin,,1882605280
Tigoa,Tigoa,-11.5531,160.0647,Solomon Islands,SB,SLB,Rennell and Bellona,admin,,1090423471
Wé,We,-20.9000,167.2667,New Caledonia,NC,NCL,Province Îles,admin,,1540672599
Ballarat,Ballarat,-37.5608,143.8475,Australia,AU,AUS,Victoria,,98543,1036567186
Bendigo,Bendigo,-36.7500,144.2667,Australia,AU,AUS,Victoria,,95587,1036537913
Bunbury,Bunbury,-33.3272,115.6369,Australia,AU,AUS,Western Australia,,71090,1036561011
Bundaberg,Bundaberg,-24.8661,152.3494,Australia,AU,AUS,Queensland,,70540,1036377333
Wagga Wagga,Wagga Wagga,-35.1189,147.3689,Australia,AU,AUS,New South Wales,,67364,1036273188
Porirua,Porirua,-41.1333,174.8500,New Zealand,NZ,NZL,Wellington,,55218,1554561880
Melton,Melton,-37.6833,144.5833,Australia,AU,AUS,Victoria,,54455,1036007778
Rotorua,Rotorua,-38.1378,176.2514,New Zealand,NZ,NZL,Bay of Plenty,,54204,1554000379
New Plymouth,New Plymouth,-39.0578,174.0742,New Zealand,NZ,NZL,Taranaki,,53988,1554939405
Hervey Bay,Hervey Bay,-25.2900,152.8400,Australia,AU,AUS,Queensland,,52073,1036833938
Pakenham,Pakenham,-38.0712,145.4878,Australia,AU,AUS,Victoria,,46421,1036063031
Port Macquarie,Port Macquarie,-31.4333,152.9000,Australia,AU,AUS,New South Wales,,44830,1036051032
Nadi,Nadi,-17.8000,177.4167,Fiji,FJ,FJI,Ba,,42284,1242357822
Upper Hutt,Upper Hutt,-41.1333,175.0500,New Zealand,NZ,NZL,Wellington,,41000,1554000042
Whanganui,Whanganui,-39.9333,175.0500,New Zealand,NZ,NZL,Manawatu-Wanganui,,39400,1554827998
Arawa,Arawa,-6.2280,155.5660,Papua New Guinea,PG,PNG,Bougainville,,40266,1598413091
Dubbo,Dubbo,-32.2569,148.6011,Australia,AU,AUS,New South Wales,,38943,1036855042
Orange,Orange,-33.2833,149.1000,Australia,AU,AUS,New South Wales,,38097,1036760396
Frankston,Frankston,-38.1580,145.1350,Australia,AU,AUS,Victoria,,36097,1036126828
Sunbury,Sunbury,-37.5811,144.7139,Australia,AU,AUS,Victoria,,36084,1036519781
Bathurst,Bathurst,-33.4200,149.5778,Australia,AU,AUS,New South Wales,,34303,1036446465
Gladstone,Gladstone,-23.8427,151.2555,Australia,AU,AUS,Queensland,,33418,1036070755
Mildura,Mildura,-34.1889,142.1583,Australia,AU,AUS,Victoria,,32738,1036624348
Southport,Southport,-27.9667,153.4000,Australia,AU,AUS,Queensland,,31908,1036417513
Geraldton,Geraldton,-28.7744,114.6089,Australia,AU,AUS,Western Australia,,31982,1036811875
Shepparton,Shepparton,-36.3833,145.4000,Australia,AU,AUS,Victoria,,31197,1036030548
Kalgoorlie,Kalgoorlie,-30.7489,121.4658,Australia,AU,AUS,Western Australia,,30841,1036087904
Warrnambool,Warrnambool,-38.3833,142.4833,Australia,AU,AUS,Victoria,,29661,1036291219
Labasa,Labasa,-16.4333,179.3667,Fiji,FJ,FJI,Macuata,,27949,1242740801
Albany,Albany,-35.0228,117.8814,Australia,AU,AUS,Western Australia,,29373,1036047365
Paraparaumu,Paraparaumu,-40.9167,175.0167,New Zealand,NZ,NZL,Wellington,,28701,1554166459
Quakers Hill,Quakers Hill,-33.7344,150.8789,Australia,AU,AUS,New South Wales,,27080,1036046868
Burnie,Burnie,-41.0636,145.8753,Australia,AU,AUS,Tasmania,,27174,1036394657
Timaru,Timaru,-44.3931,171.2508,New Zealand,NZ,NZL,Canterbury,,27501,1554243304
Caboolture,Caboolture,-27.0667,152.9670,Australia,AU,AUS,Queensland,,26433,1036273434
Coffs Harbour,Coffs Harbour,-30.3022,153.1189,Australia,AU,AUS,New South Wales,,25752,1036320442
Mount Gambier,Mount Gambier,-37.8294,140.7828,Australia,AU,AUS,South Australia,,25512,1036932780
Pukekohe East,Pukekohe East,-37.1950,174.9481,New Zealand,NZ,NZL,Auckland,,26300,1554599644
Traralgon,Traralgon,-38.1958,146.5403,Australia,AU,AUS,Victoria,,24933,1036938861
Busselton,Busselton,-33.6478,115.3458,Australia,AU,AUS,Western Australia,,25329,1036911902
Armidale,Armidale,-30.5000,151.6500,Australia,AU,AUS,New South Wales,,23352,1036975829
Taupo,Taupo,-38.6900,176.0800,New Zealand,NZ,NZL,Waikato,,23622,1554654784
Alice Springs,Alice Springs,-23.7000,133.8667,Australia,AU,AUS,Northern Territory,,23726,1036830397
Devonport,Devonport,-41.1800,146.3503,Australia,AU,AUS,Tasmania,,23046,1036033175
Goulburn,Goulburn,-34.7547,149.6186,Australia,AU,AUS,New South Wales,,22419,1036347537
Whyalla,Whyalla,-33.0333,137.5667,Australia,AU,AUS,South Australia,,21501,1036961366
Masterton,Masterton,-40.9667,175.6500,New Zealand,NZ,NZL,Wellington,,19818,1554641049
Kwinana,Kwinana,-32.2394,115.7702,Australia,AU,AUS,Western Australia,,20086,1036753478
Ba,Ba,-17.5333,177.6833,Fiji,FJ,FJI,Ba,,18526,1242193764
Mount Eliza,Mount Eliza,-38.1890,145.0920,Australia,AU,AUS,Victoria,,17888,1036041769
Griffith,Griffith,-34.2900,146.0400,Australia,AU,AUS,New South Wales,,18196,1036563313
Wodonga,Wodonga,-36.1214,146.8881,Australia,AU,AUS,Victoria,,18948,1036788540
Narangba,Narangba,-27.2015,152.9655,Australia,AU,AUS,Queensland,,18573,1036559054
Cambridge,Cambridge,-37.8833,175.4667,New Zealand,NZ,NZL,Waikato,,18651,1554000848
Wangaratta,Wangaratta,-36.3583,146.3125,Australia,AU,AUS,Victoria,,17377,1036395326
Levin,Levin,-40.6250,175.2833,New Zealand,NZ,NZL,Manawatu-Wanganui,,17670,1554983635
Broken Hill,Broken Hill,-31.9500,141.4667,Australia,AU,AUS,New South Wales,,17814,1036216956
Taree,Taree,-31.9000,152.4500,Australia,AU,AUS,New South Wales,,16197,1036855717
Banora Point,Banora Point,-28.2225,153.5386,Australia,AU,AUS,New South Wales,,16167,1036608972
Ashton,Ashton,-44.0330,171.7720,New Zealand,NZ,NZL,Canterbury,,17700,1554784264
Nerang,Nerang,-27.9956,153.3220,Australia,AU,AUS,Queensland,,16864,1036082899
Lara,Lara,-38.0167,144.4167,Australia,AU,AUS,Victoria,,16355,1036754750
Cessnock,Cessnock,-32.8342,151.3555,Australia,AU,AUS,New South Wales,,15177,1036822046
Macetown,Macetown,-44.8650,168.8190,New Zealand,NZ,NZL,Otago,,16600,1554582165
Feilding,Feilding,-40.2250,175.5650,New Zealand,NZ,NZL,Manawatu-Wanganui,,15990,1554000257
Rolleston,Rolleston,-43.5960,172.3830,New Zealand,NZ,NZL,Canterbury,,16350,1554176166
Warragul,Warragul,-38.1500,145.9333,Australia,AU,AUS,Victoria,,15757,1036504084
Karratha,Karratha,-20.7364,116.8464,Australia,AU,AUS,Western Australia,,15828,1036951388
Maryborough,Maryborough,-25.5375,152.7019,Australia,AU,AUS,Queensland,,15406,1036205623
Ulladulla,Ulladulla,-35.3486,150.4678,Australia,AU,AUS,New South Wales,,15278,1036687220
Murray Bridge,Murray Bridge,-35.1170,139.2670,Australia,AU,AUS,South Australia,,14560,1036345943
Ulverstone,Ulverstone,-41.1667,146.1667,Australia,AU,AUS,Tasmania,,14109,1036014544
Barwon Heads,Barwon Heads,-38.2500,144.5167,Australia,AU,AUS,Victoria,,14165,1036797778
Horsham,Horsham,-36.7167,142.2000,Australia,AU,AUS,Victoria,,14543,1036654340
Australind,Australind,-33.2800,115.7260,Australia,AU,AUS,Western Australia,,14539,1036182351
